title,artist,year,location,neighbourhood,medium,commissioned_by,source_url,source_name,confidence,notes,discovered_at
Moving Forward,Kent Ness,2023,"Dream's Building, Downtown Saskatoon, SK",Downtown,paint,,https://dtnyxe.ca/ness-jacobson-murals/,DTNYXE Downtown Blog,high,Extracted from: Ness + Jacobson collaborate on new downtown murals,2026-01-11T23:52:31.844226
Prairie Petals: Lilies in Luminous Frames,Josh Jacobson,2023,"south-facing wall of Dream's building, Downtown Saskatoon, SK",Downtown,paint,,https://dtnyxe.ca/ness-jacobson-murals/,DTNYXE Downtown Blog,high,Extracted from: Ness + Jacobson collaborate on new downtown murals,2026-01-11T23:52:31.844510
